ExpressId,GlobalId,Family,Type,Base Constraint,Length,Width,Material:Name,Material:Description,Material:Area,Material:Volume
165836,2KDY8k2e98y8zvgV3Sje6_,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,4358.000000000015,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",21.136300000000066,0.2536355999999908
165894,2KDY8k2e98y8zvgV3Sje6v,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333282,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.630266666666433,0.3555631999999965
165965,2KDY8k2e98y8zvgV3Sje6r,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,4587.999999999972,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",18.70999999999987,0.22452000000000008
166101,2KDY8k2e98y8zvgV3Sje6q,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333285,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.68846666666643,0.3562615999999805
166159,2KDY8k2e98y8zvgV3Sje6t,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,4587.999999999969,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",22.251799999999854,0.26702159999998576
166217,2KDY8k2e98y8zvgV3Sje6s,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333283,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.630266666666433,0.3555632000000125
166275,2KDY8k2e98y8zvgV3Sje6j,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1922.6666666666586,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",9.383133333333301,0.11259760000000449
166333,2KDY8k2e98y8zvgV3Sje6i,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,241.99999999999912,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",1.1737000000000009,0.014084400000001895
166391,2KDY8k2e98y8zvgV3Sje6l,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1922.666666666658,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",9.324933333333291,0.11189920000000436
166449,2KDY8k2e98y8zvgV3Sje6k,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333362,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.840466666666808,0.14208560000002066
