ExpressId,GlobalId,Family,Type,Level,Material:Name,Material:Description,Volume,Material:Volume
54389,1naJBYN8vFgexRUQE9422X,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999997,0.6416999999999997
54451,1naJBYN8vFgexRUQE9422a,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999986,0.6416999999999986
54513,1naJBYN8vFgexRUQE9422d,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999997,0.6416999999999997
54575,1naJBYN8vFgexRUQE9422Q,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999997,0.6416999999999997
54637,1naJBYN8vFgexRUQE9422T,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
54699,1naJBYN8vFgexRUQE9422G,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
54761,1naJBYN8vFgexRUQE9422J,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000006,0.6417000000000006
54823,1naJBYN8vFgexRUQE9422M,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000007,0.6417000000000007
54885,1naJBYN8vFgexRUQE94229,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999993,0.6416999999999993
54947,1naJBYN8vFgexRUQE9422C,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000014,0.6417000000000014
55009,1naJBYN8vFgexRUQE9422F,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000006,0.6417000000000006
55071,1naJBYN8vFgexRUQE94222,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999997,0.6416999999999997
55133,1naJBYN8vFgexRUQE94225,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
55195,1naJBYN8vFgexRUQE9423u,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
55257,1naJBYN8vFgexRUQE9423x,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
55319,1naJBYN8vFgexRUQE9423_,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000003,0.6417000000000003
