ExpressId,GlobalId,IfcClass,Family,Type,Level,Material:Name,Material:Description,Material:Area,Material:Volume
212997,3ndJx5uTH1Kw82iITrju_x,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6085333333333319,0.007302400000000959
213055,3ndJx5uTH1Kw82iITrju_t,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9175999999999948,0.011011200000000582
213113,3ndJx5uTH1Kw82iITrju_p,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.5232666666666659,0.018279200000002434
213171,3ndJx5uTH1Kw82iITrjuvF,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.523266666666666,0.018279199999999135
213229,3ndJx5uTH1Kw82iITrjuvB,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9151999999999948,0.010982400000001405
213287,3ndJx5uTH1Kw82iITrjuv7,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9187999999999948,0.011025600000001412
213345,3ndJx5uTH1Kw82iITrjuv3,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.30306666666666626,0.0036367999999998243
213403,3ndJx5uTH1Kw82iITrjuvV,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9163999999999947,0.010996800000001406
213461,3ndJx5uTH1Kw82iITrjuvR,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.3018666666666665,0.0036224000000004827
213519,3ndJx5uTH1Kw82iITrjuvN,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.917999999999995,0.011016000000001414
213577,3ndJx5uTH1Kw82iITrjuvJ,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6133333333333316,0.007360000000000965
213635,3ndJx5uTH1Kw82iITrjuvl,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6101333333333359,0.007321599999999688
213693,3ndJx5uTH1Kw82iITrjuvh,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.03700000000000719,0.00044400000000014545
213751,3ndJx5uTH1Kw82iITrjuvd,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.02299999999999737,0.00027599999999995553
213809,3ndJx5uTH1Kw82iITrjuvY,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.026999999999996898,0.0003239999999999476
213867,3ndJx5uTH1Kw82iITrjuvx,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.03819999999998829,0.00045839999999992083
213925,3ndJx5uTH1Kw82iITrjuvt,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.027000000000000364,0.0003240000000000476
213983,3ndJx5uTH1Kw82iITrjuu1,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7987999999999977,0.00958560000000039
214041,3ndJx5uTH1Kw82iITrjuuT,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4142333333333413,0.004970800000000759
214099,3ndJx5uTH1Kw82iITrjuuP,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.916399999999998,0.010996799999999958
214157,3ndJx5uTH1Kw82iITrjuuL,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.41423333333334095,0.0049708000000007555
214215,3ndJx5uTH1Kw82iITrjuuH,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6032666666666665,0.007239200000000312
214273,3ndJx5uTH1Kw82iITrjuuj,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4142333333333412,0.004970800000000758
214331,3ndJx5uTH1Kw82iITrjuuf,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6020666666666665,0.007224799999999985
214389,3ndJx5uTH1Kw82iITrjuub,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.41303333333334113,0.004956399999999862
214447,3ndJx5uTH1Kw82iITrjuuX,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4166333333333413,0.00499959999999986
214505,3ndJx5uTH1Kw82iITrjuuz,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9163999999999993,0.010996799999999973
214563,3ndJx5uTH1Kw82iITrjuuv,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7987999999999992,0.009585600000000406
214621,3ndJx5uTH1Kw82iITrjuur,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4142333333333411,0.004970800000000084
214679,3ndJx5uTH1Kw82iITrjuun,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.46526666666666583,0.005583199999999982
214737,3ndJx5uTH1Kw82iITrjuxD,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.1803999999999936,0.002164800000000017
214795,3ndJx5uTH1Kw82iITrjux9,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4640666666666659,0.005568799999999982
214853,3ndJx5uTH1Kw82iITrjux5,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.17919999999999356,0.0021503999999999187
214911,3ndJx5uTH1Kw82iITrjux1,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.18159999999999363,0.0021792000000000183
214969,3ndJx5uTH1Kw82iITrjuxT,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.24173333333333352,0.0029007999999999972
215027,3ndJx5uTH1Kw82iITrjuxP,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.09159999999999376,0.0010991999999998736
215085,3ndJx5uTH1Kw82iITrjuxL,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.24293333333333358,0.002915199999999998
215143,3ndJx5uTH1Kw82iITrjuxH,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6032666666666663,0.007239199999999982
215201,3ndJx5uTH1Kw82iITrjuxj,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.18039999999999365,0.002164800000000213
215259,3ndJx5uTH1Kw82iITrjuxf,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6020666666666665,0.007224799999999985
215317,3ndJx5uTH1Kw82iITrjuxb,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.17919999999999356,0.002150399999999822
215375,3ndJx5uTH1Kw82iITrjuxX,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.18159999999999368,0.0021792000000002156
215433,3ndJx5uTH1Kw82iITrjuxz,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4652666666666675,0.0055832
215491,3ndJx5uTH1Kw82iITrjuxv,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4652666666666675,0.0055832
215549,3ndJx5uTH1Kw82iITrjuxr,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.17919999999999361,0.0021504000000002106
215607,3ndJx5uTH1Kw82iITrjuxn,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.1815999999999937,0.0021792000000002156
215665,3ndJx5uTH1Kw82iITrjuwD,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.2429333333333331,0.0029151999999999924
